ISBN10,avtor,naslov,cenaE,format,jezik,datum,ISBN13
1119225418,Act,"The Official ACT Prep Guide, 2016-2017","23,34",Paperback,English,01 Jul 2016,9781119225416
1259587371,Tao Le,First Aid for the USMLE Step 1 2016,"49,79",Paperback,English,22 Jan 2016,9781259587375
1285166027,Gary B. Shelly,Microsoft Office 2013 : Introductory,"233,05",Paperback,English,31 May 2013,9781285166025
1285185242,Kenneth W. Clarkson,Business Law : Text and Cases,"253,71",Hardback,English,15 Jan 2014,9781285185248
1285428943,Roger Leroy Miller,The Legal Environment of Business : Text and Cases,"128,55",Hardback,English,01 Jan 2014,9781285428949
1338099132,J K Rowling,Harry Potter and the Cursed Child - Parts One &amp; Two (Special Rehearsal Edition Script) : The Official Script Book of the Original West End Production,"24,67",Hardback,English,31 Jul 2016,9781338099133
1400052181,Rebecca Skloot,The Immortal Life of Henrietta Lacks,"12,80",Paperback,English,08 Mar 2011,9781400052189
1400205875,Lysa TerKeurst,"Uninvited : Living Loved When You Feel Less Than, Left Out, and Lonely","13,72",Paperback,English,22 Sep 2016,9781400205875
1401216676,Alan Moore,Batman: The Killing Joke,"15,25",Hardback,English,21 Sep 2011,9781401216672
1401266665,Dan Jurgens,Superman: Doomsday,"18,47",Paperback,English,24 May 2016,9781401266660
1426216513,Phil Schermeister,National Geographic Guide to National Parks of the United States,"24,78",Paperback,English,24 Mar 2016,9781426216510
1429234148,David L. Nelson,Lehninger Principles of Biochemistry,"257,94",Hardback,English,20 Dec 2012,9781429234146
1433805618,American Psychological Association,Publication Manual of the American Psychological Association,"29,63",Paperback,English,15 Aug 2009,9781433805615
1438007434,Allyson Weseley,AP Psychology,"17,11",Paperback,English,24 Mar 2016,9781438007434
1440579776,Dave Canterbury,Bushcraft 101 : A Field Guide to the Art of Wilderness Survival,"13,80",Paperback,English,31 Oct 2014,9781440579776
1446249182,Andy Field,Discovering Statistics Using IBM SPSS Statistics,"50,29",Paperback,English,28 May 2013,9781446249185
1449476198,Dr Thomas Kinkade,Thomas Kinkade: The Disney Dreams Collection 2017 Wall Calendar,"13,43",Calendar,English,01 Aug 2016,9781449476199
1449478913,Jen Sincero,You Are a Badass 2017 Day-To-Day Calendar,"13,12",Calendar,English,23 Aug 2016,9781449478919
1449481337,G B Trudeau,Yuge! : 30 Years of Doonesbury on Trump,"15,95",Paperback,English,11 Aug 2016,9781449481339
1451639619,Dr Stephen R Covey,The 7 Habits of Highly Effective People : Powerful Lessons in Personal Change,"13,93",Paperback,English,19 Nov 2013,9781451639612
1451663889,Adele Faber,How to Talk So Kids Will Listen and Listen So Kids Will Talk,"14,21",Paperback,English,02 Jul 2012,9781451663884
1451673310,Ray Bradbury,Fahrenheit 451,"10,37",Paperback,English,01 Oct 2012,9781451673319
1454815485,Glannon,"Examples &amp; Explanations : Civil Procedure, Seventh Edition","74,44",Paperback,English,12 Mar 2013,9781454815488
1455539740,Lin-Manuel Miranda,Hamilton : The Revolution,"38,20",Hardback,English,24 May 2016,9781455539741
1455727555,Linda Anne Silvestri,Saunders Comprehensive Review for the NCLEX-RN Examination,"53,56",Paperback,English,04 Nov 2013,9781455727551
1455728101,Carolyn Jarvis,Physical Examination and Health Assessment,"88,95",Hardback,English,24 Mar 2015,9781455728107
1457304309,The College Board,Official Study Guide for the New SAT,"22,51",Paperback,English,02 Jul 2015,9781457304309
1465420401,DK Publishing,Marvel Comics: 75 Years of Cover Art,"63,35",Hardback,English,18 Aug 2014,9781465420404
1476738025,Fredrik Backman,A Man Called Ove,"12,57",Paperback,English,05 May 2015,9781476738024
1476798850,Glenn Beck,Liars : How Progressives Exploit Our Fears for Power and Control,"21,40",Hardback,English,09 Aug 2016,9781476798851
1478181621,Doc Murphy,Go Ready Set! : Potential Is Nothing Without Pursuit,"11,71",Paperback,English,04 Jul 2012,9781478181620
1492634336,Amy Knapp,2017 Amy Knapp Big Grid Wall Calendar : The Essential Organization and Communication Tool for the Entire Family,"13,03",Calendar,English,01 May 2016,9781492634331
1492634344,Amy Knapp,2017 Amy Knapp Family Organizer : August 2016-December 2017,"10,52",Calendar,English,16 Jun 2016,9781492634348
1492634360,National Parks Foundation,National Parks Foundation,"14,27",Calendar,English,01 Jul 2016,9781492634362
1501111108,Angela Duckworth,Grit : The Power of Passion and Perseverance,"24,47",Hardback,English,03 May 2016,9781501111105
1501135910,Phil Knight,Shoe Dog : A Memoir by the Creator of Nike,"25,43",Hardback,English,26 Apr 2016,9781501135910
1501139886,Amy Schumer,The Girl with the Lower Back Tattoo,"22,99",Hardback,English,16 Aug 2016,9781501139888
1501155776,Michael Kranish,"Trump Revealed : An American Journey of Ambition, Ego, Money, and Power","22,99",Hardback,English,23 Aug 2016,9781501155772
1506203221,Kaplan,GRE Premier 2017 with 6 Practice Tests : Online + Book + Videos + Mobile,"37,30",Paperback,English,15 Jul 2016,9781506203225
1522864741,Sasha O&#039;Hara,Calm the F*ck Down : An Irreverent Adult Coloring Book,"12,68",Paperback,English,06 Jan 2016,9781522864745
1568989695,Ellen Lupton,"Thinking with Type : A Critical Guide for Designers, Writers, Editors, and Students","16,23",Paperback,English,17 Nov 2010,9781568989693
1572245379,Michael A. Singer,The Untethered Soul : The Journey Beyond Yourself,"13,64",Paperback,English,07 Nov 2007,9781572245372
1574219952,Thaneeya Mcardle,Good Vibes Coloring Book,"7,21",Paperback,English,01 Sep 2015,9781574219951
1589483820,Michael Law,Getting to Know ArcGIS,"101,27",Paperback,English,30 Aug 2015,9781589483828
1594634025,Paula Hawkins,The Girl on the Train,"13,90",Paperback,English,12 Jul 2016,9781594634024
1595586431,Michelle Alexander,The New Jim Crow,"16,92",Paperback,English,23 Feb 2012,9781595586438
1596951656,Inc. Merriam-Webster,"Webster&#039;s Spanish-English Dictionary for Students, Second Edition","5,74",Paperback,English,01 Aug 2014,9781596951655
1599869772,Sun Tzu,The Art of War,"5,36",Paperback,English,30 May 2006,9781599869773
1600583970,Gabri Joy Kirkendall,"Creative Lettering and Beyond : Inspiring Tips, Techniques, and Ideas for Hand-Lettering Your Way to Beautiful Works of Art","19,03",Paperback,English,20 Nov 2014,9781600583971
1603292624,Modern Language Association,MLA Handbook : Rethinking Documentation for the Digital Age,"10,48",Paperback,English,30 Apr 2016,9781603292627
1604187743,Carson-Dellosa,"Phonics for Kindergarten, Grade K : Gold Star Edition","4,34",Paperback,English,18 Jan 2010,9781604187748
1607747308,Marie Kondo,The Life-Changing Magic of Tidying Up : The Japanese Art of Decluttering and Organizing,"13,25",Hardback,English,14 Oct 2014,9781607747307
1608196100,Gretchen Bakke,The Grid : The Fraying Wires Between Americans and Our Energy Future,"25,32",Hardback,English,12 Jul 2016,9781608196104
1609580427,Dr Cara Natterson,The Care and Keeping of You 2 : The Body Book for Older Girls,"9,50",Paperback,English,26 Feb 2013,9781609580421
1609580834,Valorie Schaefer,The Care and Keeping of You : The Body Book for Younger Girls,"10,23",Paperback,English,20 Apr 2013,9781609580834
1617750255,Adam Mansbach,Go the F**k to Sleep,"11,62",Hardback,English,11 Oct 2011,9781617750250
1621575454,Chuck Dixon,Clinton Cash: A Graphic Novel,"16,82",Hardback,English,25 Aug 2016,9781621575450
1621575802,John R. Lott,The War on Guns : Arming Yourself Against Gun Control Lies,"22,59",Hardback,English,18 Aug 2016,9781621575801
1623156122,Laurel Randolph,The Instant Pot(r) Electric Pressure Cooker Cookbook : Easy Recipes for Fast &amp; Healthy Meals,"14,80",Paperback,English,06 Apr 2016,9781623156121
1623363586,Thug Kitchen,Thug Kitchen : Eat Like You Give A F*ck,"24,63",Hardback,English,07 Oct 2014,9781623363581
1628601000,Maria Emmerich,Quick &amp; Easy Ketogenic Cooking : Meal Plans and Time Saving Paleo Recipes to Inspire Health and Shed Weight,"32,53",Paperback,English,15 Mar 2016,9781628601008
1630060585,Dick Morris,Armageddon : How Trump Can Beat Hillary,"21,48",Hardback,English,28 Jun 2016,9781630060589
1631211838,Rick Steves,Rick Steves Italy 2016,"19,28",Paperback,English,01 Feb 2016,9781631211836
1780671067,Johanna Basford,Secret Garden : An Inky Treasure Hunt and Colouring Book,"9,62",Paperback,English,15 Jun 2015,9781780671062
1878424319,Don Miguel Ruiz,The Four Agreements : Practical Guide to Personal Freedom,"10,14",Paperback,English,10 Dec 1997,9781878424310
1931636850,Julia Cook,My Mouth is a Volcano!,"7,80",Paperback,English,01 Oct 2008,9781931636858
1935589679,Project Management Institute,A Guide to the Project Management Body of Knowledge (PMBOK Guide),"48,28",Paperback,English,07 May 2013,9781935589679
1941234518,Manhattan Prep,5 Lb. Book of GRE Practice Problems,"29,20",Paperback,English,02 Jun 2015,9781941234518
